id	hId	tId	doctype	path	ref	book_id	book_alias	book_shortName_en	book_shortName	book_name_en	book_name	book_author	book_virtual	level	h1_id	h1	h1_title_en	h1_title	h1_intro_en	h1_intro	h1_start	h1_count	h2_id	h2	h2_title_en	h2_title	h2_intro_en	h2_intro	h2_start	h2_count	h3_id	h3	h3_title_en	h3_title	h3_intro_en	h3_intro	h3_start	h3_count	ordinal	numInChapter	grade_id	grade_grade_en	grade_grade	grader_id	grader_shortName_en	grader_shortName	grader_name_en	grader_name	grade_grade_ids	grade_grades	verified	remark	numActual	num	num0	title_en	title	part_en	part	chain_en	body_en	footnote_en	chain	body	footnote	tags	books	lastmod	lastfixed	highlight	commented
448181	448181	120149	hadith	adab/1/1	adab:1	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120149	1	Dutifulness to Parents	بَابُ قَوْلِهِ تَعَالَى: {وَوَصَّيْنَا الإِنْسَانَ بِوَالِدَيْهِ حُسْنًا}	Allah ﷻ said: "and We have enjoined upon man goodness toward his parents." (ʿAnkabūt 29:8)  (˹The collector of this text of Imām al-Bukhārī said that:˺ Abū Naṣr Aḥmad b. Muḥammad b. al-Ḥasan b. Ḥāmid b. Harūn b. ʿAbd al-Jabbar al-Bukhārī, known as Ibn al-Nayāzikī, informed us by reading, and he acknowledged it. He came to us as a pilgrim in the month of Ṣafar in the year 370 H, saying: Abū al-Khayr Aḥmad b. Muḥammad b. al-Jalīl b. Khālid b. Ḥurayth al-Bukhari al-Kirmānī al-ʿAbqasī al-Bazzaz informed us in the year 322 H, saying: Abū ʿAbdullāh Muḥammad b. Ismāʿīl b. Ibrāhīm b. al-Mughīrah b. al-Aḥnaf al-Juʿfī al-Bukhārī narrated to us:)	قَوْلِهِ تَعَالَى: ﴿وَوَصَّيْنَا الإِنْسَانَ بِوَالِدَيْهِ حُسْنًا﴾  (أَخْبَرَنَا أَبُو نَصْرٍ أَحْمَدُ بْن مُحَمَّدِ بْنِ الْحَسَنِ بْنِ حَامِدِ بْنِ هَارُونَ بْنِ عَبْدِ الجْبَّارِ البُخَارِيُّ المَعْرُوفُ بِابْنِ النَّيَازِكِيِّ قِرَاءَةً عَلَيْهِ فَأَقْرَّ بِهِ. قَدِمَ عَلَيْنَا حَاجًا فِي صَفَرَ سَنَةَ سَبْعِينَ وَثَلاثِمِئَةٍ قَالَ أَخْبَرَناَ أَبُو الْخَيْرِ أَحْمَدُ بْنُ مُحَمِّدِ بْنِ الجَلِيلِ بْنِ خَالِدِ بْنِ حُرَيْثٍ البُخَارِيُّ الْكِرْمَانِيُّ الْعَبْقَسِيُّ البَزَّازُ سَنَة اثْنَتَيْنِ وَعِشْرِينَ وَثَلاَثِمِئَةٍ قَالَ حَدَّثَنَا أَبُو عَبْدِ اللهِ مُحَمَّدُ بْنُ إِسْمَاعِيلَ بْنِ إِبْرَاهِيمَ بْنِ المُغَيرَةِ بْنِ الأَحْنَفِ الْجُعْفِيُّ البُخَاِرُّي قال:)	1	2	null	null	null	null	null	null	null	null	142802	1	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	1	1	Deeds most beloved to Allah	null	null	null	Abū al-Walīd &gt; Shuʿbah &gt; al-Walīd b. ʿAyzār &gt; Abū ʿAmr al-Shaybānī &gt; ʿAbdullāh ˹b. Masʿūd˺	The owner of this house – and he pointed at the house of Abdullah b. Masud – said, "I asked the Prophet ﷺ which action Allah loves best. He replied, *"(1) Prayer at its proper time."* "Then what," I asked. He said, *"(2) Then kindness to parents."* I asked, "Then what?" He replied, *"(3) Then jihad in the Way of Allah."* He added, "He told me about these things. If I had asked him to tell me more, he would have told me more."	null	حَدَّثَنَا أَبُو الْوَلِيدِ قَالَ حَدَّثَنَا شُعْبَةُ قَالَ الْوَلِيدُ بْنُ الْعَيْزَارِ أَخْبَرَنِي قَالَ سَمِعْتُ أَبَا عَمْرٍو الشَّيْبَانِيَّ يَقُولُ حَدَّثَنَا صَاحِبُ هَذِهِ الدَّارِ وَأَوْمَأَ بِيَدِهِ إِلَى دَارِ عَبْدِ اللهِ قَالَ	سَأَلْتُ النَّبِيَّ ﷺ: أَيُّ الْعَمَلِ أَحَبُّ إِلَى اللهِ عَزَّ وَجَلَّ؟ قَالَ: *«(١) الصَّلاَةُ عَلَى وَقْتِهَا»* قُلْتُ: ثُمَّ أَيٌّ؟ قَالَ: *«(٢) ثُمَّ بِرُّ الْوَالِدَيْنِ»* قُلْتُ: ثُمَّ أَيٌّ؟ قَالَ: *«(٣) ثُمَّ الْجِهَادُ فِي سَبِيلِ اللهِ»* قَالَ: حَدَّثَنِي بِهِنَّ وَلَوِ اسْتَزَدْتُهُ لَزَادَنِي	null	null	null	Sun Jan 11 2026 21:34:15 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:34:15 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448182	448182	120149	hadith	adab/1/1	adab:2	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120149	1	Dutifulness to Parents	بَابُ قَوْلِهِ تَعَالَى: {وَوَصَّيْنَا الإِنْسَانَ بِوَالِدَيْهِ حُسْنًا}	Allah ﷻ said: "and We have enjoined upon man goodness toward his parents." (ʿAnkabūt 29:8)  (˹The collector of this text of Imām al-Bukhārī said that:˺ Abū Naṣr Aḥmad b. Muḥammad b. al-Ḥasan b. Ḥāmid b. Harūn b. ʿAbd al-Jabbar al-Bukhārī, known as Ibn al-Nayāzikī, informed us by reading, and he acknowledged it. He came to us as a pilgrim in the month of Ṣafar in the year 370 H, saying: Abū al-Khayr Aḥmad b. Muḥammad b. al-Jalīl b. Khālid b. Ḥurayth al-Bukhari al-Kirmānī al-ʿAbqasī al-Bazzaz informed us in the year 322 H, saying: Abū ʿAbdullāh Muḥammad b. Ismāʿīl b. Ibrāhīm b. al-Mughīrah b. al-Aḥnaf al-Juʿfī al-Bukhārī narrated to us:)	قَوْلِهِ تَعَالَى: ﴿وَوَصَّيْنَا الإِنْسَانَ بِوَالِدَيْهِ حُسْنًا﴾  (أَخْبَرَنَا أَبُو نَصْرٍ أَحْمَدُ بْن مُحَمَّدِ بْنِ الْحَسَنِ بْنِ حَامِدِ بْنِ هَارُونَ بْنِ عَبْدِ الجْبَّارِ البُخَارِيُّ المَعْرُوفُ بِابْنِ النَّيَازِكِيِّ قِرَاءَةً عَلَيْهِ فَأَقْرَّ بِهِ. قَدِمَ عَلَيْنَا حَاجًا فِي صَفَرَ سَنَةَ سَبْعِينَ وَثَلاثِمِئَةٍ قَالَ أَخْبَرَناَ أَبُو الْخَيْرِ أَحْمَدُ بْنُ مُحَمِّدِ بْنِ الجَلِيلِ بْنِ خَالِدِ بْنِ حُرَيْثٍ البُخَارِيُّ الْكِرْمَانِيُّ الْعَبْقَسِيُّ البَزَّازُ سَنَة اثْنَتَيْنِ وَعِشْرِينَ وَثَلاَثِمِئَةٍ قَالَ حَدَّثَنَا أَبُو عَبْدِ اللهِ مُحَمَّدُ بْنُ إِسْمَاعِيلَ بْنِ إِبْرَاهِيمَ بْنِ المُغَيرَةِ بْنِ الأَحْنَفِ الْجُعْفِيُّ البُخَاِرُّي قال:)	1	2	null	null	null	null	null	null	null	null	142803	2	200	Good	حسن	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:200	Albānī:Good	null	null	null	2	2	A parent’s anger earns Allah’s anger	null	null	null	Ādam ˹b. Abū Iyās˺  &gt; Shuʿbah ˹b. Ḥajjāj˺ &gt; Yaʿlá b. ʿAṭāʾ ˹al-ʿĀmirī˺ from his father ʿAṭāʾ ˹al-ʿĀmirī al-Thaqafī˺ &gt; ʿAbdullāh b. ʿAmr	The pleasure of the Lord lies in the pleasure of the parent. The anger of the Lord lies in the anger of the parent.	(Mawquf: a statement of a Companion)	حَدَّثَنَا آدَمُ قَالَ حَدَّثَنَا شُعْبَةُ قَالَ حَدَّثَنَا يَعْلَى بْنُ عَطَاءٍ عَنْ أَبِيهِ عَنْ عَبْدِ اللهِ بْنِ عُمَرَ قَالَ	رِضَا الرَّبِّ فِي رِضَا الْوَالِدِ وَسَخَطُ الرَّبِّ فِي سَخَطِ الْوَالِدِ	(موقوف)	null	null	Fri Jan 02 2026 20:14:40 GMT+0000 (Coordinated Universal Time)	Sun Sep 28 2025 13:04:30 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448183	448183	120150	hadith	adab/1/2	adab:3	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120150	2	Dutifulness to One's Mother	بَابُ بِرِّ الأُمِّ	null	null	3	2	null	null	null	null	null	null	null	null	142804	3	200	Good	حسن	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:200	Albānī:Good	null	null	null	3	3	Rights of the mother are three times more deserving to be fulfilled than of the father	null	null	null	Abu `Asim > Bahz b. Hakim from his father from his grandfather	I said, “O Messenger of Allah, whom should I treat with the greatest kindness?” He said, *“Your mother.”* I said, *“Whom should I treat with the greatest kindness ˹next˺?”* He said, *“Your mother.”* I said, “Whom should I treat with the greatest kindness ˹next˺?” He said, *“Your mother.”* I said, “Whom should I treat with the greatest kindness ˹next˺?” He said, *“Your father, then the nearest ˹in kinship˺, then the nearest.”*	null	حَدَّثَنَا أَبُو عَاصِمٍ عَنْ بَهْزِ بْنِ حَكِيمٍ عَنْ أَبِيهِ عَنْ جَدِّهِ ˺مُعَاويَةُ بْنَ حَيدَةَ˹	قُلْتُ: يَا رَسُولَ اللَّهِ، مَنْ أَبَرُّ؟ قَالَ: *«أُمَّكَ»*. قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: *«أُمَّكَ»*. قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: *«أُمَّكَ»*. قُلْتُ: مَنْ أَبَرُّ؟ قَالَ: *«أَبَاكَ، ثُمَّ الْأَقْرَبَ فَالْأَقْرَبَ»*.	null	null	null	Sun Jan 11 2026 21:42:16 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:42:16 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448184	448184	120150	hadith	adab/1/2	adab:4	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120150	2	Dutifulness to One's Mother	بَابُ بِرِّ الأُمِّ	null	null	3	2	null	null	null	null	null	null	null	null	142805	4	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	4	4	Kindness toward the mother is a deed that brings one closest to Allah	null	null	null	Sa‘id b. Abu Maryam > Muhammad b. Ja‘far b. Abu Kathir > Zayd b. Aslam > ‘Ata’ b. Yasar > Ibn ʿAbbās	a man came to him and said: “I proposed marriage to a woman, but she refused to marry me. Someone else proposed to her and she wanted to marry him. I became jealous of her and killed her. Do I have any repentance?” He said: “Is your mother alive?” He said: “No.” He said: “Repent to Allah ﷻ and draw near to Him as much as you are able.”  He said: “So I went and asked Ibn ʿAbbās: ‘Why did you ask him about whether his mother was alive?’ He said: ‘I do not know of any deed closer to Allah ﷻ than dutifulness to one’s mother.’”	null	حَدَّثَنَا سَعِيدُ بْنُ أَبِي مَرْيَمَ قَالَ أَخْبَرَنَا مُحَمَّدُ بْنُ جَعْفَرِ بْنِ أَبِي كَثِيرٍ قَالَ أَخْبَرَنِي زَيْدُ بْنُ أَسْلَمَ عَنْ عَطَاءِ بْنِ يَسَارٍ عَنِ ابْنِ عَبَّاسٍ	أَنَّهُ أَتَاهُ رَجُلٌ، فَقَالَ: إِنِّي خَطَبْتُ امْرَأَةً، فَأَبَتْ أَنْ تَنْكِحَنِي، وَخَطَبَهَا غَيْرِي فَأَحَبَّتْ أَنْ تَنْكِحَهُ، فَغِرْتُ عَلَيْهَا فَقَتَلْتُهَا، فَهَلْ لِي مِنْ تَوْبَةٍ؟ قَالَ: أُمُّكَ حَيَّةٌ؟ قَالَ: لَا. قَالَ: تُبْ إِلَى اللَّهِ عَزَّ وَجَلَّ، وَتَقَرَّبْ إِلَيْهِ مَا اسْتَطَعْتَ.  قَالَ: فَذَهَبْتُ فَسَأَلْتُ ابْنَ عَبَّاسٍ، لِمَ سَأَلْتَهُ عَنْ حَيَاةِ أُمِّهِ؟ فَقَالَ: إِنِّي لَا أَعْلَمُ عَمَلًا أَقْرَبَ إِلَى اللَّهِ عَزَّ وَجَلَّ مِنْ بِرِّ الْوَالِدَةِ.	null	null	null	Sun Jan 18 2026 16:34:09 GMT+0000 (Coordinated Universal Time)	Sun Jan 18 2026 16:34:09 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448185	448185	120151	hadith	adab/1/3	adab:5	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120151	3	Dutifulness to One's Father	بَابُ بِرِّ الأَبِ	null	null	5	2	null	null	null	null	null	null	null	null	142806	5	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	5	5	A father’s station is after the mother	null	null	null	Sulayman b. Ḥarb > Wuhayb b. Khālid > Ibn Shubrumah > Abū Zurʿah > Abū Hurayrah	The Prophet was asked, "O Messenger of Allah, to whom should I be dutiful?" *"Your mother,"* he replied. He was asked, "Then whom?" *"Your mother,"* he replied. He was asked, "Then whom?" *"Your mother,"* he replied. He was asked, "Then whom?" He replied, *"Your father."*	null	حَدَّثَنَا سُلَيْمَانُ بْنُ حَرْبٍ قَالَ حَدَّثَنَا وُهَيْبُ بْنُ خَالِدٍ عَنِ ابْنِ شُبْرُمَةَ قَالَ سَمِعْتُ أَبَا زُرْعَةَ عَنْ أَبِي هُرَيْرَةَ قَالَ	قِيلَ يَا رَسُولَ اللهِ ﷺ مَنْ أَبَرُّ؟ قَالَ: *«أُمَّكَ»*، قَالَ: ثُمَّ مَنْ؟ قَالَ: *«أُمَّكَ»*، قَالَ: ثُمَّ مَنْ؟ قَالَ: *«أُمَّكَ»*، قَالَ: ثُمَّ مَنْ؟ قَالَ: «أَبَاكَ»*.	null	null	null	Sun Jan 11 2026 21:47:56 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:47:56 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448186	448186	120151	hadith	adab/1/3	adab:6	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120151	3	Dutifulness to One's Father	بَابُ بِرِّ الأَبِ	null	null	5	2	null	null	null	null	null	null	null	null	142807	6	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	6	6	The Prophet’s ﷺ command to show kindness to parents	null	null	null	Bishr b. Muḥammad > ʿAbdullāh > Yaḥyá b. Ayyūb > Abu Zurʿah > Abū Hurayrah	A man came to the Prophet of Allah ﷺ and said, “What do you command me to do?” He replied, *“Be dutiful to your mother.”* Then he asked again and he replied, *“Be dutiful to your mother.”* Then he asked again and he replied, *“Be dutiful to your mother.”* Then he asked again the fourth time and he replied, *“Be dutiful to your father.”*	null	حَدَّثَنَا بِشْرُ بْنُ مُحَمَّدٍ قَالَ أَخْبَرَنَا عَبْدُ اللهِ قَالَ أَخْبَرَنَا يَحْيَى بْنُ أَيُّوبَ قَالَ حَدَّثَنَا أَبُو زُرْعَةَ عَنْ أَبِي هُرَيْرَةَ	أَتَى رَجُلٌ نَبِيَّ اللهِ ﷺ فَقَالَ: مَا تَأْمُرُنِي؟ فَقَالَ: *«بِرَّ أُمَّكَ»*، ثُمَّ عَادَ فَقَالَ: *«بِرَّ أُمَّكَ»*، ثُمَّ عَادَ فَقَالَ: *«بِرَّ أُمَّكَ»*، ثُمَّ عَادَ الرَّابِعَةَ فَقَالَ: *«بِرَّ أَبَاكَ»*.	null	null	null	Sun Jan 11 2026 21:49:29 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:49:29 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448187	448187	120152	hadith	adab/1/4	adab:7	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120152	4	Dutifulness to Parents, even if they are unjust	بَابُ بِرِّ وَالِدَيْهِ وَإِنْ ظَلَمَا	null	null	7	1	null	null	null	null	null	null	null	null	142808	7	500	Weak	ضعيف	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:500	Albānī:Weak	null	null	null	7	7	Being kind to parents even when they’re unjust	null	null	null	Ḥajjāj > Ḥammād b. Salamah > Sulaymān al-Taymī > Saʿīd al-Qaysī > Ibn ʿAbbās	There is no Muslim who has two Muslim parents who begins his day attending to them, seeking reward, except that Allah opens for him two gates, meaning of Paradise; and if there is only one, then one. If he angers either of them, Allah will not be pleased with him until that parent is pleased with him. It was said, “Even if they wrong him?” He said, “Even if they wrong him.”	null	حَدَّثَنَا حَجَّاجٌ قَالَ حَدَّثَنَا حَمَّادٌ هُوَ ابْنُ سَلَمَةَ عَنْ سُلَيْمَانَ التَّيْمِيِّ عَنْ سَعِيدٍ الْقَيْسِيِّ عَنِ ابْنِ عَبَّاسٍ قَالَ	مَا مِنْ مُسْلِمٍ لَهُ وَالِدَانِ مُسْلِمَانِ، يُصْبِحُ إِلَيْهِمَا مُحْتَسِبًا، إِلَّا فَتَحَ اللَّهُ لَهُ بَابَيْنِ، يَعْنِي مِنَ الْجَنَّةِ، وَإِنْ كَانَ وَاحِدًا فَوَاحِدٌ. وَإِنْ أَغْضَبَ أَحَدَهُمَا لَمْ يَرْضَ اللَّهُ عَنْهُ حَتَّى يَرْضَى عَنْهُ. قِيلَ: وَإِنْ ظَلَمَاهُ؟ قَالَ: وَإِنْ ظَلَمَاهُ.	null	null	null	Sun Jan 11 2026 21:52:21 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:52:21 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448188	448188	120153	hadith	adab/1/5	adab:8	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120153	5	Gentle words to Parents	بَابُ لِينِ الْكَلاَمِ لِوَالِدَيْهِ	null	null	8	2	null	null	null	null	null	null	null	null	142809	8	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	8	8	The nine major sins includes causing parents pain	null	null	null	Musaddad > Ismāʿīl b. Ibrāhīm > Ziyād b. Mikhrāq > Ṭaysalah b. Mayyās	I was with the Najdāt and I committed sins that I see as nothing but among the major sins. I mentioned that to Ibn ʿUmar, and he said, “What are they?” I said such-and-such. He said, “These are not among the major sins. They are nine: (1) associating partners with Allah, (2) killing a soul, (3) fleeing from the battlefield, (4) falsely accusing a chaste woman, (5) consuming usury, (6) consuming the wealth of an orphan, (7) committing sacrilege in the Sacred Mosque, (8) the one who mocks, and (9) making one’s parents weep because of disobedience.”  Ibn ʿUmar said to me, “Do you fear the Fire and love to enter Paradise?” I said, “Yes, by Allah.” He said, “Is your father alive?” I said, “I have my mother.” He said, “By Allah, if you speak gently to her and feed her, you will surely enter Paradise, so long as you avoid the major sins.”	null	حَدَّثَنَا مُسَدَّدٌ قَالَ حَدَّثَنَا إِسْمَاعِيلُ بْنُ إِبْرَاهِيمَ قَالَ حَدَّثَنَا زِيَادُ بْنُ مِخْرَاقٍ قَالَ حَدَّثَنِي طَيْسَلَةُ بْنُ مَيَّاسٍ قَالَ	كُنْتُ مَعَ النَّجَدَاتِ فَأَصَبْتُ ذُنُوبًا لاَ أَرَاهَا إِلاَّ مِنَ الْكَبَائِرِ فَذَكَرْتُ ذَلِكَ لِابْنِ عُمَرَ قَالَ مَا هِيَ؟ قُلْتُ: كَذَا وَكَذَا. قَالَ: لَيْسَتْ هَذِهِ مِنَ الْكَبَائِرِ، هُنَّ تِسْعٌ: (١) الإِشْرَاكُ بِاللَّهِ (٢) وَقَتْلُ نَسَمَةٍ (٣) وَالْفِرَارُ مِنَ الزَّحْفِ (٤) وَقَذْفُ الْمُحْصَنَةِ (٥) وَأَكْلُ الرِّبَا (٦) وَأَكْلُ مَالِ الْيَتِيمِ (٧) وَإِلْحَادٌ فِي الْمَسْجِدِ (٨) وَالَّذِي يَسْتَسْخِرُ (٩) وَبُكَاءُ الْوَالِدَيْنِ مِنَ الْعُقُوقِ۔  قَالَ لِي ابْنُ عُمَرَ أَتَفْرَقُ النَّارَ وَتُحِبُّ أَنْ تَدْخُلَ الْجَنَّةَ؟ قُلْتُ إِي وَاللَّهِ قَالَ أَحَيٌّ وَالِدُكَ؟ قُلْتُ عِنْدِي أُمِّي قَالَ فَوَاللَّهِ لَوْ أَلَنْتَ لَهَا الْكَلاَمَ وَأَطْعَمْتَهَا الطَّعَامَ لَتَدْخُلَنَّ الْجَنَّةَ مَا اجْتَنَبْتَ الْكَبَائِرَ.	null	null	null	Sun Jan 11 2026 21:55:54 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 21:55:54 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448189	448189	120153	hadith	adab/1/5	adab:9	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120153	5	Gentle words to Parents	بَابُ لِينِ الْكَلاَمِ لِوَالِدَيْهِ	null	null	8	2	null	null	null	null	null	null	null	null	142810	9	100	Sound	صحيح	53	Albānī	الألباني	M. Nāṣir al-Dīn al-Albānī	محمد ناصر الدين الدين	53:100	Albānī:Sound	null	null	null	9	9	Fulfilling desires of the parent	null	null	null	Abū Nuʿaym > Sufyān > Hishām b. ʿUrwah from his father	He said: “And lower for them the wing of humility out of mercy.” He said: Do not withhold from them anything they love.	null	حَدَّثَنَا أَبُو نُعَيْمٍ قَالَ حَدَّثَنَا سُفْيَانُ عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ	قَالَ: ﴿وَاخْفِضْ لَهُمَا جَنَاحَ الذُّلِّ مِنَ الرَّحْمَةِ﴾ قَالَ: لاَ تَمْتَنِعْ مِنْ شَيْءٍ أَحَبَّاهُ.	null	null	null	Sun Jan 11 2026 22:03:26 GMT+0000 (Coordinated Universal Time)	Sun Jan 11 2026 22:03:26 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
448190	448190	120154	hadith	adab/1/6	adab:10	15	adab	al-Adab al-Mufrad	الأدب المفرد	al-Adab al-Mufrad	ُالأدَبُ المُفْرَد	Abū ʿAbdullah M. Ismāʿīl al-Bukhārī	null	2	120173	1	Parents	كتاب الْوَالِدَيْنِ	null	null	1	46	120154	6	Repaying Parents	بَابُ جَزَاءِ الْوَالِدَيْنِ	null	null	10	5	null	null	null	null	null	null	null	null	142811	10	50	Agreed Upon	متفق عليه	-1	N/A	N/A	N/A	N/A	-1:50	N/A:Agreed Upon	null	null	null	10	10	Favor from parents can never be repaid	null	null	null	Qabisah &gt; Sufyan &gt; Suhayl b. Abu Salih from his father &gt; Abu Hurayrah	Abu Hurayra reported that the Prophet ﷺ said, "A child cannot repay his parent unless he finds them as a slave and then buys them and ˹thereby˺ sets them free."	null	حَدَّثَنَا قَبِيصَةُ قَالَ حَدَّثَنَا سُفْيَانُ عَنْ سُهَيْلِ بْنِ أَبِي صَالِحٍ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ	عَنِ النَّبِيِّ ﷺ قَالَ لاَ يَجْزِي وَلَدٌ وَالِدَهُ إِلاَّ أَنْ يَجِدَهُ مَمْلُوكًا فَيَشْتَرِيَهُ فَيُعْتِقَهُ	null	null	null	Fri Jan 02 2026 20:14:40 GMT+0000 (Coordinated Universal Time)	Mon Dec 15 2025 03:01:12 GMT+0000 (Coordinated Universal Time)	Sun May 11 2025 16:59:30 GMT+0000 (Coordinated Universal Time)	null
